timestamp,outcome,transaction_id,batch_label,http_status,amount,final_intent,final_status,llm_intent,guardrail_overridden,rule_applied,action,audit_log_id,error
2026-09-03 10:38:44,BLOCKED,1987c824-ece9-4bc3-8c5e-d141124f53f6,high_risk,201,44811.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_HIGH_RISK_ESCALATE,APPROVED,b4cb8321-3d5e-48e4-a868-0c966cd23bd5,
2026-09-03 10:38:44,RECOVERED,2fe4223e-bd68-4b22-96f0-f8e95eed36b9,standard,201,7297.0,retry_now,RETRIED,retry_now,False,,APPROVED,45eee9ab-d81b-464e-b170-9d581d060124,
2026-09-03 10:38:44,RECOVERED,b2a1ad7f-5509-44a9-98f3-e8b05850478a,standard,201,506.0,retry_now,RETRIED,retry_now,False,,APPROVED,b0d515a1-6853-423e-be21-5f1376dfba03,
2026-09-03 10:38:44,RECOVERED,6f762269-11e1-4618-a756-8fb31d85a5f1,standard,201,9251.0,retry_now,RETRIED,retry_now,False,,APPROVED,650b1a63-16a6-402c-9850-759d3ff939c1,
2026-09-03 10:38:44,RECOVERED,e0c68b4c-43c0-496a-b83d-657fd64f8d29,standard,201,7636.0,retry_now,RETRIED,retry_now,False,,APPROVED,3ec5cbaf-755c-4105-89e9-08253196dae2,
2026-09-03 10:38:44,BLOCKED,473c4731-4a60-42bb-b885-cadf72988609,high_risk,201,38567.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_HIGH_RISK_ESCALATE,APPROVED,fde5d9a0-0748-462e-a20b-9bf4c95cc1c7,
2026-09-03 10:38:44,RECOVERED,8783ed6a-ddf5-4ad9-af01-cd62c919968e,standard,201,4066.0,retry_now,RETRIED,retry_now,False,,APPROVED,4be4795d-141f-4834-9de6-0a483386e0fa,
2026-09-03 10:38:44,RECOVERED,4a858678-559c-40ed-8df0-005cf77938aa,standard,201,9959.0,retry_now,RETRIED,retry_now,False,,APPROVED,ca5c1277-65fc-4981-96d1-c6facdc4e398,
2026-09-03 10:38:44,BLOCKED,12fd0366-e06d-4c5d-94b1-48c42eb800f4,fraud,201,42221.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_FRAUD_ESCALATE,APPROVED,ad00ae4c-2f8c-47d5-bfa9-d5088cfa7dfa,
2026-09-03 10:38:44,RECOVERED,52f36366-d4b4-497b-8874-7a2763618fb6,standard,201,9792.0,offer_emi,EMI_OFFERED,offer_emi,False,,APPROVED,5977d33a-1023-42b2-bda0-d4c6f0b79ad0,
2026-09-03 10:38:44,BLOCKED,469f0761-b3b3-4b1f-97e2-c8197e71babd,high_risk,201,15772.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_HIGH_RISK_ESCALATE,APPROVED,a86e0a86-c5dd-44a2-9ada-7d89a544e48e,
2026-09-03 10:38:44,RECOVERED,9aaf52c6-27d8-4f18-af27-9cb28ca23ef6,standard,201,4573.0,offer_emi,EMI_OFFERED,offer_emi,False,,APPROVED,46c4eadc-54b7-4b47-a82e-28eb195fe44e,
2026-09-03 10:38:44,BLOCKED,0fb8779f-13a5-4b6a-932b-f1a7b3e5cee2,fraud,201,9019.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_FRAUD_ESCALATE,APPROVED,970ac913-a007-4c49-a422-189edff79e94,
2026-09-03 10:38:44,BLOCKED,fd24220f-84bc-4387-b2f2-8b7659c64840,high_risk,201,56332.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_HIGH_RISK_ESCALATE,APPROVED,8262a972-00db-4fb6-84fa-090ffd4abd17,
2026-09-03 10:38:44,BLOCKED,bc1b4171-db1f-4190-a99e-cefc200873b1,high_risk,201,43309.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_HIGH_RISK_ESCALATE,APPROVED,6659dc1b-8986-4f1f-a0c6-959874518faf,
2026-09-03 10:38:44,RECOVERED,85f3bc7a-5261-4a5a-8c3d-923ef5bb52f7,standard,201,8817.0,retry_now,RETRIED,retry_now,False,,APPROVED,d35234de-cea6-42e0-94b0-f169278d2901,
2026-09-03 10:38:44,BLOCKED,7a1d4cab-59dd-4a73-ab38-612bfe0a487f,high_risk,201,34994.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_HIGH_RISK_ESCALATE,APPROVED,5b39cd8a-d3df-4bf2-af89-4c0123cbd148,
2026-09-03 10:38:44,RECOVERED,4c526df2-461e-4d8b-a9c1-ae7d03b2dc8d,standard,201,5073.0,retry_now,RETRIED,retry_now,False,,APPROVED,394ef6a4-76bb-4f2f-abf3-eac21a61b98a,
2026-09-03 10:38:44,BLOCKED,7f4d7dc2-2462-4b5d-9f21-9dd32cde9cd3,fraud,201,15474.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_FRAUD_ESCALATE,APPROVED,9e8d0245-c387-40e3-8c36-9c88d8677421,
2026-09-03 10:38:44,RECOVERED,e9132bd4-761c-4159-8f01-098057914e69,standard,201,2464.0,offer_emi,EMI_OFFERED,offer_emi,False,,APPROVED,9b3b71b3-8676-4311-b819-190de7c92bf7,
2026-09-03 10:38:44,BLOCKED,83c53bf5-43cf-4a26-a5f9-b7fe40bf488d,fraud,201,45738.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_FRAUD_ESCALATE,APPROVED,bcc4d548-8ef8-4233-acbc-268b0a42e22c,
2026-09-03 10:38:44,BLOCKED,e319a3cd-16a3-49e6-ae96-b89ced7c5928,fraud,201,8110.0,escalate_to_human,ESCALATED,escalate_to_human,False,RULE_FRAUD_ESCALATE,APPROVED,c631f16a-fb4f-4f97-a128-60283f2ef9a5,
2026-09-03 10:38:44,RECOVERED,0b5c7fc0-e944-4cf7-ae38-b6d345d32391,standard,201,5136.0,retry_now,RETRIED,retry_now,False,,APPROVED,55971571-4020-4b94-abdb-bac99b1a552c,
